"DEPARTURES_SCHEDULED","DEPARTURES_PERFORMED","PAYLOAD","SEATS","PASSENGERS","FREIGHT","MAIL","DISTANCE","RAMP_TO_RAMP","AIR_TIME","UNIQUE_CARRIER_NAME","CARRIER","ORIGIN","DEST","AIRCRAFT_GROUP","AIRCRAFT_TYPE","AIRCRAFT_CONFIG","YEAR","QUARTER","MONTH","DISTANCE_GROUP","CLASS",
0.00,1.00,48000.00,173.00,137.00,0.00,0.00,430.00,84.00,55.00,"Planet Airways","PLQ","DEN","MHK",7,"715",1,2001,4,10,1,"L",
0.00,1.00,26040.00,104.00,100.00,0.00,780.00,1709.00,223.00,196.00,"United Air Lines Inc.","UA","DEN","MIA",6,"616",1,2001,4,10,4,"F",
0.00,2.00,52080.00,220.00,171.00,0.00,1.00,495.00,165.00,135.00,"United Air Lines Inc.","UA","DEN","OKC",6,"616",1,2001,4,10,1,"F",
0.00,5.00,310800.00,840.00,448.00,2624.00,2575.00,888.00,692.00,529.00,"United Air Lines Inc.","UA","DEN","ORD",6,"625",1,2001,4,10,2,"F",
0.00,15.00,539100.00,2070.00,757.00,838.00,9614.00,1557.00,2897.00,2606.00,"United Air Lines Inc.","UA","DEN","PHL",6,"694",1,2001,4,10,4,"F",
0.00,1.00,50000.00,119.00,59.00,0.00,0.00,776.00,128.00,110.00,"Frontier Airlines Inc.","F9","DEN","PSP",6,"620",1,2001,4,10,2,"F",
0.00,1.00,26040.00,104.00,85.00,0.00,0.00,853.00,135.00,120.00,"United Air Lines Inc.","UA","DEN","SAN",6,"616",1,2001,4,10,2,"F",
0.00,1.00,30540.00,120.00,120.00,0.00,0.00,853.00,139.00,120.00,"United Air Lines Inc.","UA","DEN","SAN",6,"698",1,2001,4,10,2,"F",
0.00,1.00,26040.00,104.00,40.00,0.00,775.00,794.00,119.00,104.00,"United Air Lines Inc.","UA","DEN","SAT",6,"616",1,2001,4,10,2,"F",
0.00,1.00,32946.00,155.00,116.00,41.00,470.00,794.00,214.00,193.00,"Continental Air Lines Inc.","CO","DEN","SAT",6,"614",1,2001,4,10,2,"F",
0.00,1.00,27200.00,136.00,133.00,0.00,0.00,1023.00,144.00,125.00,"Frontier Airlines Inc.","F9","DEN","SDF",6,"619",1,2001,4,10,3,"F",
0.00,1.00,26040.00,104.00,104.00,0.00,0.00,1024.00,166.00,144.00,"United Air Lines Inc.","UA","DEN","SEA",6,"616",1,2001,4,10,3,"F",
0.00,1.00,62160.00,168.00,142.00,0.00,3928.00,967.00,144.00,124.00,"United Air Lines Inc.","UA","DEN","SFO",6,"625",1,2001,4,10,2,"F",
